Source,Target,weight
9C_HReR_McQ,G9FGgwCQ22w,1
9C_HReR_McQ,w45Vc3uv1Yk,1
9C_HReR_McQ,VAa4aI5wKLo,1
G9FGgwCQ22w,dbL-NSkXnl8,1
G9FGgwCQ22w,w45Vc3uv1Yk,1
G9FGgwCQ22w,VAa4aI5wKLo,1
G9FGgwCQ22w,9C_HReR_McQ,1
G9FGgwCQ22w,xuCn8ux2gbs,1
G9FGgwCQ22w,uD4izuDMUQA,1
dbL-NSkXnl8,5CIP2mz8rpg,1
dbL-NSkXnl8,w45Vc3uv1Yk,1
dbL-NSkXnl8,G9FGgwCQ22w,1
dbL-NSkXnl8,eDbrlgCRTSw,1
dbL-NSkXnl8,VRlrYcJEsAQ,1
dbL-NSkXnl8,9Ux2ZxSXePs,1
eDbrlgCRTSw,h2Vr9Hx12Zk,1
eDbrlgCRTSw,vtkGtXtDlQA,1
eDbrlgCRTSw,xD-IQaxHcE4,1
h2Vr9Hx12Zk,B_bM8IpGxLQ,2
h2Vr9Hx12Zk,qlezQLWgZys,1
h2Vr9Hx12Zk,drhqlbciI2I,1
h2Vr9Hx12Zk,NbjSj26f8Zc,1
h2Vr9Hx12Zk,sCn5xgTPi9c,1
B_bM8IpGxLQ,Tchc-VuvPdY,1
B_bM8IpGxLQ,hnNh__iIUJI,1
B_bM8IpGxLQ,6kj40pb4Os8,1
qlezQLWgZys,IyAC8Hh0atI,1
qlezQLWgZys,G9FGgwCQ22w,1
qlezQLWgZys,3cRoSQYjp0w,1
IyAC8Hh0atI,Z-TG3FUFx5Y,1
IyAC8Hh0atI,jJOwdrTA8Gw,1
IyAC8Hh0atI,KLogDTH0oXA,1
3cRoSQYjp0w,KL4sh-C2HPo,1
3cRoSQYjp0w,sCn5xgTPi9c,1
3cRoSQYjp0w,7lGZEsMywbM,1
drhqlbciI2I,TNOWHHYZCzI,1
drhqlbciI2I,6kj40pb4Os8,1
drhqlbciI2I,mPg1tnfUguo,1
vtkGtXtDlQA,dbL-NSkXnl8,1
vtkGtXtDlQA,At6aUZGWZXg,1
vtkGtXtDlQA,sXOdn6vLCuU,1
w45Vc3uv1Yk,At6aUZGWZXg,1
w45Vc3uv1Yk,wmbWHdOdH0Q,1
w45Vc3uv1Yk,75DlnMlMgIQ,1
w45Vc3uv1Yk,UTlGQDF4aTQ,1
w45Vc3uv1Yk,kHTcoPoAnys,1
w45Vc3uv1Yk,q1CrYYF58RA,2
w45Vc3uv1Yk,FWYQs3a7834,1
w45Vc3uv1Yk,VAa4aI5wKLo,1
w45Vc3uv1Yk,XsEYtaL241c,1
w45Vc3uv1Yk,HWB3VhIPWrU,1
w45Vc3uv1Yk,n9wOS-EvGaw,1
At6aUZGWZXg,FM5dXBD1U_I,2
At6aUZGWZXg,JcpboMScfIY,3
At6aUZGWZXg,BpfGELntT14,1
At6aUZGWZXg,b7Ac32ixV0E,3
At6aUZGWZXg,lRLUo84TRRk,3
At6aUZGWZXg,QJlqY1O4B00,2
At6aUZGWZXg,9Ux2ZxSXePs,1
At6aUZGWZXg,_2e5ia9j0TA,1
At6aUZGWZXg,zG4aIVGHr6w,2
FM5dXBD1U_I,b7Ac32ixV0E,1
FM5dXBD1U_I,At6aUZGWZXg,1
FM5dXBD1U_I,PTrYgdF3JKA,1
JcpboMScfIY,HdVRyOX6S4A,1
JcpboMScfIY,ftop4SpTHO8,1
JcpboMScfIY,I2VCQGhWHvo,1
JcpboMScfIY,SrKUkSfvfG0,1
JcpboMScfIY,7eM7pb5M5DU,1
JcpboMScfIY,i9Zs1FnYMBA,1
sXOdn6vLCuU,h2Vr9Hx12Zk,1
sXOdn6vLCuU,vtkGtXtDlQA,1
sXOdn6vLCuU,w45Vc3uv1Yk,1
xD-IQaxHcE4,KQvXTRKvt5A,1
xD-IQaxHcE4,vdXfxcJumuU,1
xD-IQaxHcE4,9hUfI0uQbS0,1
KQvXTRKvt5A,oVA6F5XtSJA,1
KQvXTRKvt5A,1LIfEmClwAw,1
KQvXTRKvt5A,KSlGJv3LZII,1
vdXfxcJumuU,QwSJOWQ3MCo,1
vdXfxcJumuU,1LIfEmClwAw,1
vdXfxcJumuU,OmZB36csdRA,1
9hUfI0uQbS0,nJEckyyeKsw,1
9hUfI0uQbS0,JJIO-Jr0E8o,1
9hUfI0uQbS0,xD-IQaxHcE4,1
VRlrYcJEsAQ,At6aUZGWZXg,1
VRlrYcJEsAQ,4VzPrwo2Js8,1
VRlrYcJEsAQ,rtVYarn1VXs,1
b7Ac32ixV0E,7QJrsFJEEvY,1
b7Ac32ixV0E,Q3P92md6RfE,1
b7Ac32ixV0E,zG4aIVGHr6w,1
b7Ac32ixV0E,FM5dXBD1U_I,1
b7Ac32ixV0E,QX0QLY_ZuiQ,1
b7Ac32ixV0E,lRLUo84TRRk,1
zG4aIVGHr6w,GoAA0sYkLI0,1
zG4aIVGHr6w,mjBTAnCUbZc,1
zG4aIVGHr6w,At6aUZGWZXg,1
lRLUo84TRRk,FM5dXBD1U_I,1
lRLUo84TRRk,At6aUZGWZXg,1
lRLUo84TRRk,L-0gD2jU98Y,1
lRLUo84TRRk,mjBTAnCUbZc,1
lRLUo84TRRk,e1fLz8aZSWY,1
lRLUo84TRRk,-KRQ4RbqOB4,1
QJlqY1O4B00,OixC6jcXCwo,1
QJlqY1O4B00,7S1SVkysIRw,1
QJlqY1O4B00,HdVRyOX6S4A,2
QJlqY1O4B00,JcpboMScfIY,1
QJlqY1O4B00,fsWWYj8NHWY,1
QJlqY1O4B00,UghBGvPepSQ,1
QJlqY1O4B00,1sR3WaQIGvM,1
QJlqY1O4B00,aHQhddiJ_EM,1
4VzPrwo2Js8,Wh13eaXsxCQ,1
4VzPrwo2Js8,n2SkNtMmqnU,1
4VzPrwo2Js8,3ZBr3BIjPW0,1
Wh13eaXsxCQ,10P52OzMwTc,1
Wh13eaXsxCQ,8sBTfyFICRo,1
