Source,Target,weight
bOuEJf8Dr_4,A5dE25ANU0k,1
bOuEJf8Dr_4,twSvd5bQLDw,1
bOuEJf8Dr_4,vuIlsN32WaE,1
A5dE25ANU0k,f0WCb23KPEw,2
A5dE25ANU0k,izgtCxsLVd0,1
A5dE25ANU0k,BGbGpm7M12w,1
A5dE25ANU0k,da1vvigy5tQ,2
A5dE25ANU0k,36m1o-tM05g,1
A5dE25ANU0k,LnJwH_PZXnM,2
A5dE25ANU0k,XGq3MXQlRJs,2
A5dE25ANU0k,R8CNKE8nHfQ,1
f0WCb23KPEw,-KysuBl2m_w,1
f0WCb23KPEw,L9UIF852Boo,1
f0WCb23KPEw,WQvfNG9bkz0,1
f0WCb23KPEw,GrxJ-9_qXeM,1
f0WCb23KPEw,jOJLx4Du3vU,2
f0WCb23KPEw,tlb2qzEbvns,1
f0WCb23KPEw,Dvh3JhsrQ0w,4
f0WCb23KPEw,36m1o-tM05g,2
f0WCb23KPEw,H2rG4Dg6xyI,3
f0WCb23KPEw,v_ONFix_e4k,3
f0WCb23KPEw,4-079YIasck,1
f0WCb23KPEw,oVDh6w6secs,1
-KysuBl2m_w,SemHh0n19LA,1
-KysuBl2m_w,TFbv757kup4,1
-KysuBl2m_w,H2rG4Dg6xyI,1
-KysuBl2m_w,ycB29FkoylE,2
-KysuBl2m_w,v1ojZKWfShQ,1
SemHh0n19LA,LnJwH_PZXnM,1
SemHh0n19LA,4-079YIasck,1
SemHh0n19LA,L9UIF852Boo,1
LnJwH_PZXnM,w-HYZv6HzAs,4
LnJwH_PZXnM,9vJRopau0g0,2
LnJwH_PZXnM,55HERZnmHT8,2
LnJwH_PZXnM,4-079YIasck,3
LnJwH_PZXnM,L9UIF852Boo,2
LnJwH_PZXnM,bRtBHF-WPpM,1
LnJwH_PZXnM,kARkOdRHaj8,2
LnJwH_PZXnM,TFbv757kup4,2
LnJwH_PZXnM,f0WCb23KPEw,3
LnJwH_PZXnM,ycB29FkoylE,2
LnJwH_PZXnM,xp0O2vi8DX4,1
w-HYZv6HzAs,H6n3iNh4XLI,1
w-HYZv6HzAs,LNHBMFCzznE,1
w-HYZv6HzAs,LnJwH_PZXnM,2
w-HYZv6HzAs,bGBamfWasNQ,2
w-HYZv6HzAs,MY5SatbZMAo,2
w-HYZv6HzAs,4-079YIasck,1
w-HYZv6HzAs,7vZmOF11P9A,1
w-HYZv6HzAs,TFbv757kup4,1
w-HYZv6HzAs,Lp7E973zozc,1
9vJRopau0g0,JsC9ZHi79jo,4
9vJRopau0g0,RlSwsE22nX0,2
9vJRopau0g0,PXwStduNw14,1
9vJRopau0g0,MdZAMSyn_As,1
9vJRopau0g0,u9hauSrihYQ,5
9vJRopau0g0,8s3bdVxuFBs,3
9vJRopau0g0,Hu4Yvq-g7_Y,3
9vJRopau0g0,tLWEr_kdXl4,4
9vJRopau0g0,QbxinUJcLGg,1
9vJRopau0g0,_VB39Jo8mAQ,4
9vJRopau0g0,vuIlsN32WaE,3
9vJRopau0g0,jOJLx4Du3vU,3
9vJRopau0g0,qS7mBbXxJYA,3
9vJRopau0g0,A5dE25ANU0k,1
9vJRopau0g0,N5Y8W0OC9Jw,2
9vJRopau0g0,2Yt6raj-S1M,2
55HERZnmHT8,--mY5ruEhqI,2
55HERZnmHT8,tFDRXgDUea4,2
55HERZnmHT8,ycB29FkoylE,2
55HERZnmHT8,LnJwH_PZXnM,2
55HERZnmHT8,EirlZ7fy3bE,2
55HERZnmHT8,NHHPNMIK-fY,1
55HERZnmHT8,AWCiloSaG74,1
4-079YIasck,lLY76-NBBxQ,3
4-079YIasck,VaRO5-V1uK0,1
4-079YIasck,bC0hlK7WGcM,1
4-079YIasck,LNHBMFCzznE,2
4-079YIasck,ycB29FkoylE,6
4-079YIasck,4O2JK_94g3Y,5
4-079YIasck,lo0X2ZdElQ4,4
4-079YIasck,xnLoToJVQH4,1
4-079YIasck,xk0-yebNA_o,2
4-079YIasck,LnJwH_PZXnM,2
lLY76-NBBxQ,IeblJdB2-Vo,1
lLY76-NBBxQ,ycB29FkoylE,1
lLY76-NBBxQ,4Lb5L-VEm34,1
VaRO5-V1uK0,6MBaFL7sCb8,1
VaRO5-V1uK0,4-079YIasck,1
VaRO5-V1uK0,xk0-yebNA_o,2
VaRO5-V1uK0,xnLoToJVQH4,2
VaRO5-V1uK0,esPRsT-lmw8,1
VaRO5-V1uK0,kcW4ABcY3zI,1
VaRO5-V1uK0,QzPbY9ufnQY,1
bC0hlK7WGcM,LNHBMFCzznE,1
bC0hlK7WGcM,Fw1Fc_y_2Ek,1
bC0hlK7WGcM,VaRO5-V1uK0,1
L9UIF852Boo,uU6o2_UFSEY,2
L9UIF852Boo,H2rG4Dg6xyI,2
L9UIF852Boo,KDQrMoksJ4Q,3
L9UIF852Boo,jOJLx4Du3vU,2
L9UIF852Boo,4BZuWrdC-9Q,2
L9UIF852Boo,W3P3rT0j2gQ,1
L9UIF852Boo,IZLgWQkvIQg,1
L9UIF852Boo,bRtBHF-WPpM,3
L9UIF852Boo,--mY5ruEhqI,3
L9UIF852Boo,f0WCb23KPEw,3
L9UIF852Boo,xp0O2vi8DX4,1
L9UIF852Boo,lyZysfafOAs,1
L9UIF852Boo,wM82hE6oimw,2
L9UIF852Boo,bGBamfWasNQ,2
L9UIF852Boo,MY5SatbZMAo,1
L9UIF852Boo,55HERZnmHT8,1
L9UIF852Boo,c_X_sPNUDes,1
L9UIF852Boo,XXsY3qSVNoY,1
L9UIF852Boo,a2MR5XbJtXU,1
uU6o2_UFSEY,whyUPLJZljE,1
uU6o2_UFSEY,XdT4DIiX7Nk,1
uU6o2_UFSEY,fWCocjh5aK0,1
uU6o2_UFSEY,36m1o-tM05g,1
uU6o2_UFSEY,34rniXluGxY,1
uU6o2_UFSEY,60wX9jf5RPg,1
H2rG4Dg6xyI,9vJRopau0g0,1
H2rG4Dg6xyI,cef35Fk7YD8,1
H2rG4Dg6xyI,j-Gil9l8yIE,1
H2rG4Dg6xyI,nnYhZCUYOxs,1
H2rG4Dg6xyI,bRtBHF-WPpM,1
H2rG4Dg6xyI,esPRsT-lmw8,1
ycB29FkoylE,xnLoToJVQH4,5
ycB29FkoylE,pi4JOlMSWjo,1
ycB29FkoylE,-KysuBl2m_w,4
ycB29FkoylE,c_X_sPNUDes,3
ycB29FkoylE,G2AMSOAvX2s,3
ycB29FkoylE,6MBaFL7sCb8,1
ycB29FkoylE,lo0X2ZdElQ4,1
ycB29FkoylE,4-079YIasck,1
ycB29FkoylE,H2rG4Dg6xyI,2
ycB29FkoylE,rKQLBiylsn8,2
ycB29FkoylE,7vZmOF11P9A,1
xnLoToJVQH4,4-079YIasck,2
xnLoToJVQH4,LNHBMFCzznE,1
xnLoToJVQH4,7XFLTDQ4JMk,1
xnLoToJVQH4,esPRsT-lmw8,1
xnLoToJVQH4,ycB29FkoylE,1
xnLoToJVQH4,WAlzFGIrzGs,1
